pros_cons,label
you learn every critical retail function from site merchandising and marketing to instock management and forecasting given amazon fast paced work culture you learn a ton quickly i ve learned more in my almost 2 years at the company than 3 4 years elsewhere this is a great place to be if you value learning and want to optimize for learning in your career the career progression opportunities abound if you perform well competitive name on resume intelligent coworkers fast paced culture where you are consistently challenged flexible work hours the salary is quite low when compared to hours worked amazon s compensation is awarded over time 4 years where compensation comes with a lower base pay stock and signing bonus the average amazon employee lasts 2 years so you may not realize all these benefits stocks don t vest completely until you have completed 4 years with the company 401k match is not earned until 3 years of service sign on bonus isn t earned until you complete 1 full year with the company if you leave or are forced out prior it must be repaid on a pro rated annualized basis relocation bonus and expenses also have to be paid back if you leave within 2 years pro rated amazon espouses frugality and uses these deceptive tactics to lock talent into a contract where employees are promised fake money awarded over a very long period of time during which many employees either quit or are forced out of the company in regard to compensation i would push to come in as an l5 brand manager instead of l4 brand specialist l5s typically come in at an 84k annual salary stock whereas l4s are usually 65k 20k signing bonus stock total compensation between the roles is almost the same with one key difference within 2 years as a brand specialist you have to get a promotion to an l5 to have it make financial sense to continue unless you want to take a 20k pay cut as the signing bonus is only valid for 2 years promotions at amazon can be very challenging so negotiating to an l5 upfront can be beneficial if you want to stay at amazon long term also annual increases are very minimal on average 1 2 per year if that each year as an l4 you almost feel expendable where the 1st 2 years are a test to see if you qualify to stay and the company and move up to a more steady pay grade as an l5 i would use prior work experience and top tier education to push to come in as an l5 one thing i wish i knew prior to joining amazon lack of appreciation one of the primary drivers of attrition within this role there is no positive reinforcement at amazon on the occasional blue moon someone will pat you on the back and congratulate you for a great win it is rare believe me if something goes wrong it can be blown out of proportion and magnified can be demoralizing over time constant stress anxiety the bar at amazon is constantly rising and you have to go above and beyond and constantly push yourself to make a name for yourself leadership and management have to know who you are and the value you bring to the table stack ranking does occur during the annual review process often times based on favoritism and can be political at times the work environment is competitive cut throat darwinian the strong survive weak perish i ve seen people disappear cry at their desk get yelled at and just walk out and leave the company amazon has a culture that embraces conflict and disagreement amongst people it s very much and a love or hate place to work little grey area between love or hate if you embrace conflict amazon may be a great fit high turnover you have very limited time for family social life etc due to work commitments the expectation is that you are available 24 7 though no one will tell you this directly workload varies by team and time of year i would not recommend amazon as a place for someone who has a family looking to start a family or enjoys having a social life even if you are sick there is constant pressure to work from home and get stuff done incompetent management some managers do not know or have no experience managing teams making it difficult to grow develop and feel challenged constantly dealing with ambiguity the company has a very self reliant culture so make sure you are comfortable managing ambiguous situations and can drive results you teach yourself everything at amazon no one will hold your hand and walk you through things there are a lot of type a personalities that when leading projects across leadership you can be told 5 different things from 5 different people across teams gaining alignment across leadership and buying groups is a huge issue and causes inefficiency when leading and executing projects i would think hard about signing for this role or use it as a short term learning opportunity biggest challenge is as an l4 you feel like a workhorse or object and completely expendable churning out work for leadership with almost no credit for it also one important note amazon does not pay for the brand specialist role it is paid for by the vendor through vendor funding about 300k annually so to put simply amazon is making money on this position one of amazon s core tenets is frugality they will not tell you this upfront but people usually find out after joining in conversations with vendors the typically re evaluate whether they need the brand specialist role in annual negotiations which can make you feel completely expendable respect in the workplace is vitally important and unfortunately amazon doesn t have any of it,at risk of leaving
challenging problem space some execs are not complete morons the most annoying part of working at amazon is how people don t matter at all in this company you are a number no one will give a damn about training you growing you advancing you what you do is completely irrelevant you will be passed over by the cronies of your newly hired director or vp mistresses drinking buddies soccer team mates etc reviews and interviews are passive aggressive driven beauty contests for your success it is much more important to be nice with everyone and not rub anyone the wrong way rather than actually getting something done management is all hired from outside almost never promoted from inside the attrition is ridiculous also because of that the pay and the benefits are such that those able to leave amazon as soon as the all cash compensation period is over especially with a stagnant or declining stock those who stick around tend to be those that cannot go anywhere else and it shows in my career i have never seen so many incompetent morons with the title of director or higher spending all their time and energy trying to defend their position rather than get work done in two years i had the team produce 100x more lines of useless planning documents that no one read or cared about than actual code the few great people i have worked with were all in the intermediate to low levels and were all leaving or looking around the technology stacks i have worked on were all put together with tape and wire more than 90 of the resources were spent trying to get the stratified hacks of ten years to keep working rather than creating something new and it was a mission critical system the technical leadership is the division was non existing there may be some pocket of excellence elsewhere in the company but after i have seen the shambles the supposed core business is in i ran for the door at the first opportunity,at risk of leaving
google is a world of its own at every other company there were lots of people who had serious gaps in their skills at google i could have a serious work conversation about technology with everyone and could trust that they have solid expertise in that way google is a sheltered garden from the rest of the world there is a general sense of trust in the company you can leave your valuables and laptops lying around and they are safe people joke that it s the only place where you use an expansive laptop to reserve a seat at the cafeteria while walking away at other companies teams are very protective of their own code trying to execute another team s code requires following a 50 step installation process that s out of date and was never complete to begin with google has almost all the code in the same source repository an engineer can look at the code easily execute the code because it comes with intelligent defaults and standard build process and contribute enhancements bug fixes the other teams are generally grateful for getting improvements they understand that it s better for the company if the bug is fixed rather than holding onto territory or insisting on their own strange ways google takes care of you all around from food health care generous vacation onsite gym and so on you are well taken care off and can focus on work rather than dealing with life s hassles there are cases where google goes above and beyond tremendously here is an example that floats around internally a googler had worked at amazon before amazon relocated him because of the relocation he had to change his partner s health insurance for some critical and expensive life changing medication due to same sex partner and relocation the health insurance company refused amazon was so unhelpful that the hr representative who was forced to deliver the news broke down crying and then quit over it he switched to google the google hr department negotiated an exception for him with the health insurance and included the necessary change for the following policy year for all employees a lot of google products have a huge impact with over a billion users working there you can feel that you change the world i was very happy with the compensation there are also a lot of opportunities in the company to follow your interest pretty much anyone can get an intern participate in setting coding standards obviously you have to argue the case for your proposals interviewing supporting local schools with tech expertise google opened up a lot of opportunities in the community or in general in tech to volunteer in google is considered the largest functioning anarchy that has its good sides like the glee of joy for operating without strict oversight it also has its dark side like a hands off management tends to encourage politics another beauty for engineers are internal tools your development environment is in the cloud you can sit down at a loaner computer and be productive within seconds there is a massive cloud compiling system that shards your compiles across many computers in the cloud the search function across the codebase is powerful you ll feel that downloading and compiling code on your own computer in your ide is something of another epoch like something from before the industrial revolution the google badge is a wonderful thing to carry it opens doors to a different world the office spaces are beautiful with work rest and play areas the mtv location is like a utopian city on its own everything in it food drinks work spaces swimming pools gym bowling alleys showers and so on are free for employees it is a whole world of its own most companies have a one over one promotion model your boss has to decide to promote you your bosses boss has to sign off on it at google the promotion is decided by a relatively impartial committee that due to promoting lots of people has experience in it you can even get promoted in rare cases against the will of your manager rumor has it that managers won t hold a grudge if that happens but support it the hiring committee looks at a promotion packet that includes reviews from peers there can even be unrequested peer reviews in general it creates an environment that discourages bicycling bowing to the higher ups and kicking the lower downs hard however some people have realized that they can hurt colleagues with bad reviews and impunity it s rare but colleagues careers took a dive due to someone holding a grudge or simply writing a thoughtless review there is some concern about stack ranking but i don t understand enough of the background to comment on it there are plenty of discussions with insight elsewhere to underscore how google is one of a kind there is an internal database with legendary things that happened at google someone parked his car for many years on the employee parking lot when after years he went looking for his car it was gone he went to security he found out that it was simply moved because the parking lot had been repaved another googler lived in the office fulltime to save money on rent he wrote a guide on how to do that as there are showers and other facilities it is possible to do so and google let it happen after a while of saving rent payment he could afford the down payment on buying his own place all these stories make google a wonderful place to work at an important topic to bring up is work life balance work life balance is an amorphous topic that means a lot of different things to different people getting up to speed at google is consuming depending on your work it could take a year to become productive many colleagues reported no longer having a personal life after starting at google some colleagues simply love technology and can t think of anything better than working until the am hours on some tech that gets them excited you can tell these people by physically looking at them for them it is a heaven if you are a balanced person with personal interests and relationships you are likely going to be challenged if you signed up for one of the big five tech companies you wanted challenge right if i would do something differently it is to take advantage of all time saving things pay for a laundry service pay for a cleaning service i ve had a moral hangup about doing that because on a moral level my time shouldn t be more worthy than that of another human being if i could do it all over again i d pay for every possible service to save time in the grander scheme of things if you work at google your skill is so valuable to humanity that you should make use of it instead of standing in line at the grocery store i don t mean that in an arrogant way if you work on a service with a billion users your ability to make life better for them with another hour of work is worth more than folding laundry you ve paid the price in education training and effort to be able to do that make use of your power for the great code the view that all those perks are only there to keep your nose closer to the grindstone is the wrong way of looking at it from a philosophical point in my humble opinion for full disclosure there are some people who coast at google they probably don t have any complains about work life balance or perhaps the worst complaints because they are all about coasting many company mishandle projects when the next time comes around they mishandle it in the same way because the people responsible aren t the ones working late nights and weekends google does two things to get better 1 there are honest and public postmortems they are the pride of a lot of true engineers 2 zeitgeist is an annual survey about the work place and the company the survey is quite exhaustive every manager from the ceo to the front line manager reports on the result of his her area then they take actions to attempt to improve areas that got low scores having worked at companies where now improvement effort is done this annual and systematic process is very refreshing if you don t work in mtv hq you will be given work however if you are passionate and want to advance your career you should relocated to mtv any project that started doing well and,at risk of leaving
facilities and nothing else do not fall prey to free stuff provided this review is for the young engineers from top colleges of india who decide to join microsoft gtsc role as soon as they finish their degrees microsoft hires from campuses they are known as mach hires we are a part of them we got carried away by the brand name and the pay that they offered one of the pro s of being a mach is you will be treated like royalty in gtsc for the initial few months the administration who take care of mach are exellent but once you get pushed to different teams and you come under different administration your life is going to change however there are one two teams which have good administration but the chances of getting into those teams are very rare even if you do get into those teams the fact is this job does not deserve engineers it requires the skillset of a person who can sell solutions to customers they say that gtsc is not a call center but it is run by the authorities like a call center we are from one of the topmost colleges in india and we came in to this role thinking it will be a journey of a lifetime yes it has become an unforgettaale journey for all of us this company is full of politics and biased managers ego filled and lazy engineers on floor and arrogant technical advisors however there might be exceptions but never take this as your first job choose to be a developer in a startup for a lesser pay but never take up this job tech support is a kind of job which requires capability of selling solutions to the customers this job is not for people who come from tech background this job is considered as a golden opportunity for people who come from call center backgrounds who learn a bit of tech stuff and find their way until microsoft this job is not for students who come from campuses who would have worked hard for four years also to mention one of the most important things you can hardly find people with engineering background in this company they just know how to troubleshoot and lack technical knowledge talking about the growth here almost every engineer is sluggish and they will drag you down when you decide to grow fast looking at the opportunity outside gtsc once you get here is almost nil you will be supporting a microsoft product and you will not have any other job opportunity even if you do the pay will be bad and will be unwilling to quit and you will be forced to stay here also the shifts that you will have to work in you will become an unhealthy person with all sorts of health problems you will have to sleep at around 8 am in the morning and get up at 5 pm in the evening and run to the office your whole eating habits will change you will feel very unhealthy also working at night will take a toll on your mental health because you will not be in contact with the world at all as you will be sleeping in the day and working at night the only set of faces whom you ll see is your teammates you will be asked to work over weekends like sunday to saturday or tuesday to saturday which will drift you away from normal life you will start to forget the feel of sunday morning as even if you work from monday to friday shift you wont be able to sleep on saturday night as you will be awake all over night for the whole week and sleep through whole day of sunday to add on to the woes of this job any national holiday is considered as a leave but in order to stay home that day you will need manager approval for it as only a particular number of people can be on leave for a particular day most of the time you will be not be getting it as the old employees are smart enough to block it soon and you will be working even during a national holiday for example you will have to work during diwali christmas or including new year s eve if you notice you can ask hundred people who are currently working and ask them how is the job and everyone gives a good opinion it s because of the fear of the higher authority like their managers do not fall for their words as they will be helplessly hiding the actual truth last but not the least there will be a huge chunk of people coming from a particular company which is basically a call center and we do not wish to disclose the name of that company who are mostly not engineers and do not have any tech knowledge you will feel ashamed to sit alongside people who lack tech knowledge and boss over you also to mention most of the people 99 and their might be very few exceptions have reached microsoft gtsc not by studying the technology but by being nice to higher officials if you are from a reputed college you will not have the mindset of bowing your head without any reason unless if required and you will be indirectly punished by higher authorities for not doing so in terms of year end reviews my advice to all campus hires take this job up only if you want to spoil your health and career if you are from one of the best colleges from india my advice is not to take up this job we all know how difficult it is to crack a entrance exam and find ways to topmost colleges don t commit the mistake of joining a tech support it doesn t matter even if it is microsoft tech support do not fall prey for the facilities they provide and the pay they provide you will be treated like you are from a call center and will be shouted upon by higher authority people like a worker in factory do not consider this review as one person s opinion this is a collective opinion from almost whole of the mach community,at risk of leaving
at amazon a developer is like a clown in circus must be able to perform all kinds of tricks on acceptable level to get the job done same time you will learn a great deal and will understands it end to end for an sde being a part of amazon web services gives you the edge to work on truly high scale projects and buys you a free ticket to many other work places when you decide to leave interestingly enough right now there is an exodus of microsoft people willing to switch over and work for aws amazon is definitely not for everyone and requires a lot of effort to stay sane yes you will be stressed out almost every day either being on call fixing stuff you never seen before the timer is ticking btw or managing unrealistic project deadlines or very often both in parallel however you may look at it from another angle this is how people bond and develop trust when they go through hell together your amazon co workers will be like your good old army friends forever on call can be horrible depending on the team or time of the year but don t create illusions because the industry is shifting the majority of software jobs towards developing and running services amazon will take you ahead on that and you will learn how it s done on the large scale as a matter of fact at microsoft more and more devs carrying a pager too and also staying sleepless yeah a bit to the east in redmond i like the fact that people don t slack around here and majority of managers are occupied with a plenty of real issues and getting paged too there is very little of bureaucracy here know the right thing to do then go and just do it you will feel empowered when you realize that you control such a huge fleet you will find a lot of smart people around you and most of the time they say what they mean after tasting amazon it is hard to go back to the traditional it company where everything is slow and managers are afraid of changes if you prefer true ownership of what you are given you will find amazon a decent company to work for the attrition is very high which is not good for the moral but again those people who are leaving now will call you some day with a job offer agree with other reviews that you should know a lot of stuff before joining amazon because there is no time to learn or take a class on anything it is a sink or swim environment taking this into account i would say that entering amazon is probably better as the second job when you already know quite a few things learned to code well understand how to manage priorities and now it s time to turn your brain on full throttle amazon has the worst choice of medical plans across pretty much all high tech non startup companies in the area and i don t count ms at all here honestly i do not recommend amazon to my friends because it is not a comfortable place to work at there is a lot of pain going on here and i m not enjoying it but for myself i consider it as the growing pain,at risk of leaving
i definitely tell anyone who will listen that it s a terrible company to work for and they should seek employment elsewhere it s very strange to see your feelings corroborated in the words of several strangers but what s been previously documented is exactly my experience during my years at amazon the average amazon employee stays with amazon for 14 months 14 months i have been with the company for less than 5 years and have been there longer than nearly 80 of the employees for a company that prides itself on efficiency a turnover rate like that seems painfully inefficient and painful it is if you re the one left while your co worker exits the work will definitely fall on you and if you manage to hold things together even just barely you ll see that headcount vanish and suddenly you re doing the work of two people let s talk about leave of absences and people who quit never in my professional career have i worked somewhere were so many people either walk out or simply disappear i ve encountered more than one employee who has gone out on a mysterious leave of absence only to never return and severe all social ties with other co workers never to be heard from again we re talking block on linkedin kind of severing i ve read the comments some people have posted and i d like to set the record straight on a few things the pay to quit program is nothing but a pr hoax that option is only offered to fulltime warehouse employees of which there are few it s well documented that the vast majority of warehouse employees are temp workers of the very few people who qualify for the program it s offered during review season which is when raises promotions and stock grants are given anyone with a brain knows that 5 000 to quit your job is a terrible deal it s mostly intended for the poor performers a way for amazon to avoid firing an employee and paying unemployment also many comments reference that if you don t like your job then just quit you know what you re right you can just quit and if you re that unhappy with your job i would argue that you should however i think the larger point here is that this is all a terrible way to run a successful corporation amazon needs its employees just as much as it needs its customers and the fact it doesn t understand that is what hinders its overall success other players in the space offer lots of perks to keep employees happy decent health insurance amazon s is terrible snacks in the office discounted gym memberships amazon does none of these things are employees entitled to it no we re not but when it keeps the company from getting and retaining the best talent the very talent that is necessary to keep the company going and innovating then it s probably a good idea to offer a few things i m not an organizational psychologist but i m confident that there are studies out there that say that happy employees work harder longer hours and stick around for more than 14 months if you re an average person reading this you probably aren t outraged but if you re an amazon executive or shareholder you absolutely should be i wouldn t go so far as to say that amazon is evil but it is certainly a contentious work environment where people will literally step on each other to climb to the next level amazon s level structure has also been documented and are even encouraged to do so if you want a raise you better figure out a way to eliminate the job of someone below you it s not the most sinister and i m definitely not being abused but i think that the culture is such that it s very difficult to be successful and ultimately not worth the rewards because of this amazon will remain a stepping stone for most not a place to settle into a career oh and i completely agree that the review process is absolute garbage if you ever had a bad day and said something to someone that was even slightly snarky it will come up completely out of context on your review i know several people who have had becomes visibly frustrated at times called out on their review i get visibly frustrated when people try to come onto the subway car before letting me out let alone when i m at work and multiple people have given me conflicting deadlines on projects the bottom line is that you should never have an emotion ever of it will be seen as a weakness your manager can complain and gossip to you endlessly about people on your team or on other teams but never do the same it will come up on your review that you re a complainer the pip thing is also completely real and i ve known a few people who have gotten one completely out of nowhere while nothing this terrible has ever happen to me i have seen it happen around me i have known people who have been screamed at by their managers cursed at and even had comments made to them that were blatantly racist while my personal experience hasn t been completely tragic i definitely tell anyone who will listen that it s a terrible company to company to work for and they should seek employment elsewhere,at risk of leaving
i definitely agree that this job isn t for everyone however it is a warehouse job and that does mean physical labor the turnover rate is high because a lot of new hires see early on it isn t for them and that shouldn t reflect negatively on amazon if anything i find it great that they hire in bulk they seem to give everyone a chance which i know a lot of us need it boggles my mind over these negative reviews your employer created the rules follow them or quit it s really that simple benefits rock atmosphere is great you do feel valued despite reading that we are just a badge number in reality the badge numbers are crucial because if your family calls in for an emergency they need to know where you are to connect you as soon as possible they only require 24 hour notice for vacation you can take pto if you feel like leaving break rooms are fantastic and a wide variety of food drinks etc i would definitely encourage everyone to apply you won t know if you like it until you try if you excel at your job you are noticed right away even on the first day breaks could be longer 10 hour shifts are hard on your feet but honestly stretch and get good shoes,at risk of leaving
it was great to be able to work from home they take good care of their customers will be in business for a long time sorry this is so long i left my job of five years to work at home for amazon and was fired while still in training i want to let prospective employees know how very little it takes to get fired though and how you may not even know it s coming during interview and recruitment i was told i would be on a chat team to assist customers with technical issues via instant message this was not true and i was assigned to a frontline phone support team a horrible assignment and definitely not one i would have left my former job for i really doubt it was intentional but it certainly something they should have told me they called me back a few days after the interview and asked if i could start two days later i could not since i had been with my employer for about five years and wanted to give them two weeks of notice that i was leaving only fair since we had a great working relationship and they depended on me for many things we re still friends outside of work the recruiter agreed or said they did anyway and rescheduled me for training so that i could give notice and i thought everything was looking good until training started a little over a week into training a situation with family came up and i needed an hour of personal time i asked for the time and was told how to handle these requests a couple of days later i was contacted by my manager which is pretty funny because didn t know i had one until then and they wanted to talk about my attendance issues surprising since i didn t know i had done something wrong i didn t say this of course about 10 minutes into this call my manager brought in someone from hr as well it was immediately clear to me that this was a well versed routine and that they were trying to pressure me into quitting which i wouldn t with the hr person on the call my manager went on the offensive and immediately asked me why i punched in precisely 20 minutes early every single day a really strange accusation since it s completely untrue i signed in and out exactly when i was supposed to and i still wonder where this question came from did my manager have the wrong person or was it just an attempt to throw me off or provoke me i ll probably never find out we were told in the training that we had a window of approximately sixty seconds to punch in and out which is really not enough time since we had to use an rsa token and pin to sign into their vpn a little device that gives you a code to sign into their network then had to remotely connect to our desktops then finally login into a time keeping site and hit the punch clock button after that you had 4 minutes left to sign into four different communication platforms email group chat instant message and their knowledge bank i can only imagine how many of the other trainees had similar experiences or worse a shame since i was a huge fan of amazon before i went through all this,at risk of leaving
the company does provide benefits instantly you get bonuses perks and more incentives for job well done you can be cross trained in various departments they provide career course training also after one year they will pay for you to go to school you never can speak to a live person from your personal site from hr by phone which is horrible if you have an urgent need everything with them is done via chat or calling some 1800 number and escalating calls for 24 48hrs to get back to you on matters which they never can give direct answers or are never of much help and when they finally do get back to you it s via email feels like when you re dealing with the cable people or some other order service by phone and talking to foreigners when you just want to speak with someone who knows what s going on and will resolve another with being hired you re going in blind sided they don t tell you what department you re working in all the way up to you start work trying to know department and all between live chat and calling the erc they claim to not know your department you ll be in which is a lie they can find out and do know you re giving one shift and than they randomly change it never mind if you changed your life around based on the already assigned schedule they say oh no worries you ll find out when you re there and if a problem they can change it just talk to hr if any problems but they may just have to change your start date unless they can fit you in on that shift however once there they have a very nasty disposition and say well we can change your department at will based on business needs which is crap so trying to find every way to mediate the issue where we can all be happy is not in there interests the company claims to care about their workers but they do not they attitude was basically this is your shift now and department you can t change it until after 90days which is also false because they will try any and everything to avoid you from switching departments when you start you don t find out your position until 4hrs in to the shift what department you will be in but they simply force your hand leaving you with no choice but to quit call out or use your personal time even if it was there error truth be told that s why it s such a high turnover they under pay for what they expect the employees to do and they re nasty the way they work with picking is not productive rather counterproductive just horrible,at risk of leaving
you get to work with incredibly smart people on products that are at a scale and growing at a speed that most other companies aren t able to achieve aws supports an incredible amount of internet infrastructure and businesses across the world the work you can do has real impact it s also fascinating to see the kinds of customers we get and depending on which team you are on you can interact with some big players relatively often it is very easy to contact people across the company almost everyone in my experience was more than happy to set aside an hour to grab coffee to answer questions about their service or their team it s also nice that there are near constant in company conferences and talks about various aspects of the company and the technologies we use certainly a lot of resources to learn about technologies within amazon and a growing community of people trying to educate about design ux mobile information architecture machine learning etc recruiters are bad at matching you with an appropriate team especially if you are a new grad or don t have much experience you have to work very hard and do your research to find a team that actually fits your interests you can switch teams relatively easily now but teams are still pretty silo d so it can be a long process to cast a wide net and find teams that are working on things that really interest you if you aren t vocal about the work you are doing nobody will know what you are working and will assume that you are slow doing a bad job managers seem to be very perceptive about who is growing or has growth potential when talking about candidates and if you don t seem to be making progress after a few years releasing bigger cross team projects that have bigger and bigger impact communicating across the team taking leadership roles on projects etc they will bring it up in performance reviews promotion is a hard process at amazon you don t simply get a promotion by staying on your team or on a project for a long time you have to show that you are working at the next job level to be considered to get promoted and often times that happens in the form of a level up project a project that has more impact more cross team communication and influence more leadership on your part sde i sde ii promotions are relatively common after 1 5 2 years but sde ii sde iii promotions seem to be rare the promotions i ve seen most commonly happen from jumping teams or companies and then showing that you are operating at the next level in the fresh eyes of a new manager minor gripe we re already so privileged being in the software industry but lack of perks compared to other tech companies is a bummer no free snacks or food only small subsidies to transportation and various gym memberships no free amazon prime a lot of people ask about work life balance it totally depends on your team as i imagine is true on most teams at any company i know people at amazon who work really hard coming in at 9 and leaving at 6 or 7 every day and i know people who show up at 10 30 and leave at 5 30 it depends how vocal you are about your preferences in work life balance how productive you actually are during the day and if you are delivering what you need to deliver sometimes you will have projects where you have to get into crunch mode at the end and sometimes you will have a much better balance it waxes and wanes and depends there is no good answer there pay is a bit lower than competitive for the other tech giants and don t expect much in the way of negotiation unless you have secured offers at the big competitors although i ve heard of people trying to heavily negotiate and hearing back from amazon telling them to just take the other offers it s probably best to negotiate stocks and signing bonuses not base salary,at risk of leaving
